Date,Issue code,ISIN code,Exchange code,Issue classification,Industry code,Securities under supervision and to be delisted flag,Time,Session distinction,Price,Trading volume,Short selling regulation flag,Closing price input flag,State flag,Transaction ID
20200302,92790,JP3264860002,1,114,6100, ,94257787362,1,2845,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,94257788921,1,2845,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,94257789571,1,2845,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,94257795017,1,2842,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,94458915157,1,2847,300,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,94458915157,1,2846,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,94458918296,1,2857,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,94850583130,1,2856,200,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,95613716107,1,2847,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,95626760966,1,2858,200,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,1.00207E+11,1,2865,300,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,1.00207E+11,1,2865,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,1.00207E+11,1,2865,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,1.00208E+11,1,2867,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,1.00233E+11,1,2865,200,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,1.00233E+11,1,2862,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,1.00233E+11,1,2858,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,1.00233E+11,1,2858,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,1.00233E+11,1,2864,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,1.0032E+11,1,2862,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,1.01002E+11,1,2860,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,1.01002E+11,1,2864,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,1.01013E+11,1,2865,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,1.01049E+11,1,2872,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,1.01049E+11,1,2872,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,1.01049E+11,1,2875,300,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,1.01049E+11,1,2875,200,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,1.01049E+11,1,2878,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,1.01056E+11,1,2879,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,1.01056E+11,1,2879,200,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,1.01056E+11,1,2880,200,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,1.01056E+11,1,2887,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,1.01106E+11,1,2880,200,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,1.01113E+11,1,2888,200,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,1.01113E+11,1,2888,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,1.01117E+11,1,2892,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,1.01518E+11,1,2897,100,0, ,  ,2.02003E+24
